filename,datapoints,trajectory_len,mode,freq,hd_frac,shd_frac,prec,rec,f1
ds_NumPoints12_Len12_Async_Freq1.txt,12,12,Async,1,0.194444,0.333333,0.700000,0.636364,0.666667
ds_NumPoints12_Len12_Async_Freq2.txt,12,12,Async,2,0.138889,0.238095,0.750000,0.818182,0.782609
ds_NumPoints12_Len12_Async_Freq3.txt,12,12,Async,3,0.138889,0.238095,0.750000,0.818182,0.782609
ds_NumPoints12_Len12_Sync_Freq1.txt,12,12,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints12_Len12_Sync_Freq2.txt,12,12,Sync,2,0.444444,0.571429,0.333333,0.454545,0.384615
ds_NumPoints12_Len12_Sync_Freq3.txt,12,12,Sync,3,0.388889,0.571429,0.400000,0.545455,0.461538
ds_NumPoints12_Len15_Async_Freq1.txt,12,15,Async,1,0.250000,0.380952,0.571429,0.727273,0.640000
ds_NumPoints12_Len15_Async_Freq2.txt,12,15,Async,2,0.111111,0.190476,0.769231,0.909091,0.833333
ds_NumPoints12_Len15_Async_Freq3.txt,12,15,Async,3,0.083333,0.142857,0.900000,0.818182,0.857143
ds_NumPoints12_Len15_Sync_Freq1.txt,12,15,Sync,1,0.027778,0.047619,1.000000,0.909091,0.952381
ds_NumPoints12_Len15_Sync_Freq2.txt,12,15,Sync,2,0.555556,0.619048,0.200000,0.272727,0.230769
ds_NumPoints12_Len15_Sync_Freq3.txt,12,15,Sync,3,0.416667,0.523810,0.357143,0.454545,0.400000
ds_NumPoints12_Len18_Async_Freq1.txt,12,18,Async,1,0.333333,0.523810,0.470588,0.727273,0.571429
ds_NumPoints12_Len18_Async_Freq2.txt,12,18,Async,2,0.138889,0.238095,0.714286,0.909091,0.800000
ds_NumPoints12_Len18_Async_Freq3.txt,12,18,Async,3,0.277778,0.380952,0.555556,0.454545,0.500000
ds_NumPoints12_Len18_Sync_Freq1.txt,12,18,Sync,1,0.055556,0.095238,0.909091,0.909091,0.909091
ds_NumPoints12_Len18_Sync_Freq2.txt,12,18,Sync,2,0.555556,0.619048,0.200000,0.272727,0.230769
ds_NumPoints12_Len18_Sync_Freq3.txt,12,18,Sync,3,0.416667,0.476190,0.333333,0.363636,0.347826
ds_NumPoints12_Len21_Async_Freq1.txt,12,21,Async,1,0.250000,0.428571,0.583333,0.636364,0.608696
ds_NumPoints12_Len21_Async_Freq2.txt,12,21,Async,2,0.083333,0.142857,0.785714,1.000000,0.880000
ds_NumPoints12_Len21_Async_Freq3.txt,12,21,Async,3,0.166667,0.285714,0.692308,0.818182,0.750000
ds_NumPoints12_Len21_Sync_Freq1.txt,12,21,Sync,1,0.027778,0.047619,1.000000,0.909091,0.952381
ds_NumPoints12_Len21_Sync_Freq2.txt,12,21,Sync,2,0.444444,0.476190,0.272727,0.272727,0.272727
ds_NumPoints12_Len21_Sync_Freq3.txt,12,21,Sync,3,0.444444,0.571429,0.368421,0.636364,0.466667
ds_NumPoints12_Len24_Async_Freq1.txt,12,24,Async,1,0.361111,0.523810,0.437500,0.636364,0.518519
ds_NumPoints12_Len24_Async_Freq2.txt,12,24,Async,2,0.333333,0.476190,0.466667,0.636364,0.538462
ds_NumPoints12_Len24_Async_Freq3.txt,12,24,Async,3,0.111111,0.190476,0.769231,0.909091,0.833333
ds_NumPoints12_Len24_Sync_Freq1.txt,12,24,Sync,1,0.027778,0.047619,1.000000,0.909091,0.952381
ds_NumPoints12_Len24_Sync_Freq2.txt,12,24,Sync,2,0.444444,0.619048,0.333333,0.454545,0.384615
ds_NumPoints12_Len24_Sync_Freq3.txt,12,24,Sync,3,0.444444,0.571429,0.352941,0.545455,0.428571
ds_NumPoints12_Len27_Async_Freq1.txt,12,27,Async,1,0.194444,0.285714,0.625000,0.909091,0.740741
ds_NumPoints12_Len27_Async_Freq2.txt,12,27,Async,2,0.194444,0.285714,0.642857,0.818182,0.720000
ds_NumPoints12_Len27_Async_Freq3.txt,12,27,Async,3,0.138889,0.238095,0.750000,0.818182,0.782609
ds_NumPoints12_Len27_Sync_Freq1.txt,12,27,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints12_Len27_Sync_Freq2.txt,12,27,Sync,2,0.611111,0.619048,0.133333,0.181818,0.153846
ds_NumPoints12_Len27_Sync_Freq3.txt,12,27,Sync,3,0.444444,0.666667,0.272727,0.272727,0.272727
ds_NumPoints12_Len30_Async_Freq1.txt,12,30,Async,1,0.388889,0.523810,0.384615,0.454545,0.416667
ds_NumPoints12_Len30_Async_Freq2.txt,12,30,Async,2,0.222222,0.333333,0.600000,0.818182,0.692308
ds_NumPoints12_Len30_Async_Freq3.txt,12,30,Async,3,0.166667,0.285714,0.692308,0.818182,0.750000
ds_NumPoints12_Len30_Sync_Freq1.txt,12,30,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints12_Len30_Sync_Freq2.txt,12,30,Sync,2,0.527778,0.619048,0.214286,0.272727,0.240000
ds_NumPoints12_Len30_Sync_Freq3.txt,12,30,Sync,3,0.416667,0.523810,0.375000,0.545455,0.444444
ds_NumPoints12_Len33_Async_Freq1.txt,12,33,Async,1,0.166667,0.285714,0.666667,0.909091,0.769231
ds_NumPoints12_Len33_Async_Freq2.txt,12,33,Async,2,0.277778,0.428571,0.533333,0.727273,0.615385
ds_NumPoints12_Len33_Async_Freq3.txt,12,33,Async,3,0.166667,0.285714,0.727273,0.727273,0.727273
ds_NumPoints12_Len33_Sync_Freq1.txt,12,33,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints12_Len33_Sync_Freq2.txt,12,33,Sync,2,0.527778,0.619048,0.250000,0.363636,0.296296
ds_NumPoints12_Len33_Sync_Freq3.txt,12,33,Sync,3,0.416667,0.619048,0.333333,0.363636,0.347826
ds_NumPoints12_Len36_Async_Freq1.txt,12,36,Async,1,0.416667,0.571429,0.388889,0.636364,0.482759
ds_NumPoints12_Len36_Async_Freq2.txt,12,36,Async,2,0.194444,0.333333,0.642857,0.818182,0.720000
ds_NumPoints12_Len36_Async_Freq3.txt,12,36,Async,3,0.083333,0.142857,0.785714,1.000000,0.880000
ds_NumPoints12_Len36_Sync_Freq1.txt,12,36,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints12_Len36_Sync_Freq2.txt,12,36,Sync,2,0.444444,0.571429,0.333333,0.454545,0.384615
ds_NumPoints12_Len36_Sync_Freq3.txt,12,36,Sync,3,0.472222,0.523810,0.285714,0.363636,0.320000
ds_NumPoints12_Len39_Async_Freq1.txt,12,39,Async,1,0.194444,0.333333,0.625000,0.909091,0.740741
ds_NumPoints12_Len39_Async_Freq2.txt,12,39,Async,2,0.222222,0.380952,0.615385,0.727273,0.666667
ds_NumPoints12_Len39_Async_Freq3.txt,12,39,Async,3,0.194444,0.333333,0.642857,0.818182,0.720000
ds_NumPoints12_Len39_Sync_Freq1.txt,12,39,Sync,1,0.027778,0.047619,1.000000,0.909091,0.952381
ds_NumPoints12_Len39_Sync_Freq2.txt,12,39,Sync,2,0.500000,0.619048,0.266667,0.363636,0.307692
ds_NumPoints12_Len39_Sync_Freq3.txt,12,39,Sync,3,0.416667,0.571429,0.375000,0.545455,0.444444
ds_NumPoints12_Len3_Async_Freq1.txt,12,3,Async,1,0.333333,0.476190,0.333333,0.090909,0.142857
ds_NumPoints12_Len3_Async_Freq2.txt,12,3,Async,2,0.361111,0.571429,0.250000,0.090909,0.133333
ds_NumPoints12_Len3_Async_Freq3.txt,12,3,Async,3,0.333333,0.523810,0.333333,0.090909,0.142857
ds_NumPoints12_Len3_Sync_Freq1.txt,12,3,Sync,1,0.055556,0.095238,1.000000,0.818182,0.900000
ds_NumPoints12_Len3_Sync_Freq2.txt,12,3,Sync,2,0.527778,0.666667,0.000000,0.000000,0.000000
ds_NumPoints12_Len3_Sync_Freq3.txt,12,3,Sync,3,0.388889,0.571429,0.200000,0.090909,0.125000
ds_NumPoints12_Len6_Async_Freq1.txt,12,6,Async,1,0.361111,0.571429,0.333333,0.181818,0.235294
ds_NumPoints12_Len6_Async_Freq2.txt,12,6,Async,2,0.194444,0.333333,0.750000,0.545455,0.631579
ds_NumPoints12_Len6_Async_Freq3.txt,12,6,Async,3,0.194444,0.285714,0.750000,0.545455,0.631579
ds_NumPoints12_Len6_Sync_Freq1.txt,12,6,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints12_Len6_Sync_Freq2.txt,12,6,Sync,2,0.500000,0.619048,0.230769,0.272727,0.250000
ds_NumPoints12_Len6_Sync_Freq3.txt,12,6,Sync,3,0.388889,0.571429,0.400000,0.545455,0.461538
ds_NumPoints12_Len9_Async_Freq1.txt,12,9,Async,1,0.138889,0.190476,0.875000,0.636364,0.736842
ds_NumPoints12_Len9_Async_Freq2.txt,12,9,Async,2,0.250000,0.380952,0.600000,0.545455,0.571429
ds_NumPoints12_Len9_Async_Freq3.txt,12,9,Async,3,0.222222,0.380952,0.615385,0.727273,0.666667
ds_NumPoints12_Len9_Sync_Freq1.txt,12,9,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints12_Len9_Sync_Freq2.txt,12,9,Sync,2,0.500000,0.619048,0.266667,0.363636,0.307692
ds_NumPoints12_Len9_Sync_Freq3.txt,12,9,Sync,3,0.416667,0.523810,0.333333,0.363636,0.347826
ds_NumPoints15_Len12_Async_Freq1.txt,15,12,Async,1,0.194444,0.285714,0.666667,0.727273,0.695652
ds_NumPoints15_Len12_Async_Freq2.txt,15,12,Async,2,0.166667,0.238095,0.692308,0.818182,0.750000
ds_NumPoints15_Len12_Async_Freq3.txt,15,12,Async,3,0.166667,0.238095,0.692308,0.818182,0.750000
ds_NumPoints15_Len12_Sync_Freq1.txt,15,12,Sync,1,0.000000,0.000000,1.000000,1.000000,1.000000
ds_NumPoints15_Len12_Sync_Freq2.txt,15,12,Sync,2,0.500000,0.619048,0.266667,0.363636,0.307692
ds_NumPoints15_Len12_Sync_Freq3.txt,15,12,Sync,3,0.444444,0.523810,0.333333,0.454545,0.384615
ds_NumPoints15_Len15_Async_Freq1.txt,15,15,Async,1,0.222222,0.380952,0.600000,0.818182,0.692308
