nodes	mode	score	sf	ntraj	len	tf	hd_frac	shd_frac	precision	recall	f1
5	asynchronous	MDL	1	1	5	0.4	0.560000	0.666667	0.000000	0.000000	0.000000
5	asynchronous	BDE	1	1	5	0.4	0.560000	0.666667	0.000000	0.000000	0.000000
5	asynchronous	MDL	1	1	5	0.6	0.600000	0.666667	0.000000	0.000000	0.000000
5	asynchronous	BDE	1	1	5	0.6	0.560000	0.666667	0.000000	0.000000	0.000000
5	asynchronous	MDL	1	1	5	0.8	0.560000	0.666667	0.000000	0.000000	0.000000
5	asynchronous	BDE	1	1	5	0.8	0.560000	0.666667	0.000000	0.000000	0.000000
5	asynchronous	MDL	1	1	10	0.4	0.560000	0.666667	0.500000	0.071429	0.125000
5	asynchronous	BDE	1	1	10	0.4	0.600000	0.733333	0.000000	0.000000	0.000000
5	asynchronous	MDL	1	1	10	0.6	0.640000	0.733333	0.000000	0.000000	0.000000
5	asynchronous	BDE	1	1	10	0.6	0.560000	0.666667	0.000000	0.000000	0.000000
5	asynchronous	MDL	1	1	10	0.8	0.480000	0.600000	1.000000	0.142857	0.250000
5	asynchronous	BDE	1	1	10	0.8	0.520000	0.666667	1.000000	0.071429	0.133333
5	asynchronous	MDL	1	1	15	0.4	0.640000	0.733333	0.250000	0.071429	0.111111
5	asynchronous	BDE	1	1	15	0.4	0.680000	0.800000	0.000000	0.000000	0.000000
5	asynchronous	MDL	1	1	15	0.6	0.480000	0.533333	1.000000	0.142857	0.250000
5	asynchronous	BDE	1	1	15	0.6	0.480000	0.533333	1.000000	0.142857	0.250000
5	asynchronous	MDL	1	1	15	0.8	0.520000	0.666667	0.600000	0.214286	0.315789
5	asynchronous	BDE	1	1	15	0.8	0.480000	0.666667	0.750000	0.214286	0.333333
5	asynchronous	MDL	1	1	20	0.4	0.360000	0.466667	1.000000	0.357143	0.526316
5	asynchronous	BDE	1	1	20	0.4	0.440000	0.533333	1.000000	0.214286	0.352941
5	asynchronous	MDL	1	1	20	0.6	0.600000	0.733333	0.400000	0.142857	0.210526
5	asynchronous	BDE	1	1	20	0.6	0.560000	0.666667	0.500000	0.142857	0.222222
